 t_org t s_out_mean s_out_std
0 2452696.0 1980.0 1361.536459420376 0.15666027951895886
1 2452697.0 1980.002737850787 1361.5549827469144 0.17345171354246375
2 2452698.0 1980.0054757015744 1361.5744496612429 0.15235503625051405
3 2452699.0 1980.0082135523614 1361.5491978285845 0.17204849430981542
4 2452700.0 1980.0109514031485 1361.5248794748427 0.14996009760663592
5 2452701.0 1980.0136892539356 1361.4916291283823 0.17959505801651085
6 2452702.0 1980.0164271047229 1361.4592116622466 0.17921538954624944
7 2452703.0 1980.01916495551 1361.4275704284462 0.14858799144538043
8 2452704.0 1980.021902806297 1361.4252481328706 0.1710576503340363
9 2452705.0 1980.024640657084 1361.423642719962 0.15159254153975132
10 2452706.0 1980.0273785078714 1361.4289765414048 0.17202229185213222
11 2452707.0 1980.0301163586585 1361.4350337607325 0.15395152745450594
12 2452708.0 1980.0328542094455 1361.383417168272 0.1733589765621477
13 2452709.0 1980.0355920602328 1361.3324443608353 0.15304616798699355
14 2452710.0 1980.03832991102 1361.1764613101275 0.1724496842169384
15 2452711.0 1980.041067761807 1361.0207603988429 0.15111044456648934
16 2452712.0 1980.043805612594 1360.81980006747 0.17197249768629028
17 2452713.0 1980.0465434633813 1360.618498626797 0.15199909139292753
18 2452714.0 1980.0492813141684 1360.695631809603 0.1805257581765433
19 2452715.0 1980.0520191649555 1360.7722069049485 0.18050387548267152
20 2452716.0 1980.0547570157426 1360.848357724202 0.1519209256017772
21 2452717.0 1980.0574948665299 1361.0158577424802 0.1718638750157144
22 2452718.0 1980.060232717317 1361.1833592530047 0.15086260121052408
23 2452719.0 1980.062970568104 1361.2147225098197 0.17167732108551173
24 2452720.0 1980.065708418891 1361.2464347656999 0.1531165446448626
25 2452721.0 1980.0684462696784 1361.286513451645 0.17221950427356522
26 2452722.0 1980.0711841204654 1361.3270665879384 0.15080369038715602
27 2452723.0 1980.0739219712525 1361.3148019748448 0.17123503089627426
28 2452724.0 1980.0766598220398 1361.3030612449634 0.14994561067116666
29 2452725.0 1980.0793976728269 1361.1641079496999 0.17981359057621635
30 2452726.0 1980.082135523614 1361.0254152069444 0.18001490355620486
31 2452727.0 1980.084873374401 1360.8867406576678 0.15067019329952686
32 2452728.0 1980.0876112251883 1360.8965355747714 0.17239930576745288
33 2452729.0 1980.0903490759754 1360.906123474272 0.15457831078938492
34 2452730.0 1980.0930869267625 1360.9880137331347 0.17279669386310745
35 2452731.0 1980.0958247775495 1361.0698568281634 0.15144237249883866
36 2452732.0 1980.0985626283368 1361.1659589978487 0.17154421077735985
37 2452733.0 1980.101300479124 1361.2623249546539 0.15006303750725994
38 2452734.0 1980.104038329911 1361.2906776642108 0.17120148441633723
39 2452735.0 1980.1067761806983 1361.319512100887 0.15073202134126676
40 2452736.0 1980.1095140314853 1361.2526944186948 0.18015236457005096
41 2452737.0 1980.1122518822724 1361.186292089688 0.180481903246494
42 2452738.0 1980.1149897330595 1361.120189078928 0.15191281094291514
43 2452739.0 1980.1177275838468 1361.058435040501 0.1724349059363549
44 2452740.0 1980.1204654346338 1360.996756896158 0.1521536655897991
45 2452741.0 1980.123203285421 1361.0601700605612 0.17230182696593818
46 2452742.0 1980.125941136208 1361.1236621509106 0.1526028328515059
47 2452743.0 1980.1286789869953 1361.2084234634071 0.17215349830973195
48 2452744.0 1980.1314168377824 1361.2935227676755 0.15198314978594965
49 2452745.0 1980.1341546885694 1361.3271554222588 0.1720823040201393
50 2452746.0 1980.1368925393565 1361.3613335471216 0.15148578165066875
51 2452747.0 1980.1396303901438 1361.3676650769182 0.17163057994861008
52 2452748.0 1980.1423682409309 1361.374612865705 0.150143565321438
53 2452749.0 1980.145106091718 1361.3869141625237 0.17941324144886442
54 2452750.0 1980.1478439425052 1361.399865355204 0.17919536507720996
55 2452751.0 1980.1505817932923 1361.4134890753428 0.1493591202849262
56 2452752.0 1980.1533196440794 1361.3751230702715 0.17137078035734524
57 2452753.0 1980.1560574948664 1361.337386356683 0.15158844624011417
58 2452754.0 1980.1587953456537 1361.2942429506384 0.17274016266151643
59 2452755.0 1980.1615331964408 1361.2515875018846 0.1550346838343311
60 2452756.0 1980.1642710472279 1361.1100253193736 0.17290443138007502
61 2452757.0 1980.167008898015 1360.9686291825244 0.1522039345840735
62 2452758.0 1980.1697467488023 1360.7565868521554 0.17216199665117535
63 2452759.0 1980.1724845995893 1360.544092950407 0.15110263659626413
64 2452760.0 1980.1752224503764 1360.4613229808149 0.18017136423105193
65 2452761.0 1980.1779603011637 1360.3775854801224 0.1802132425997569
66 2452762.0 1980.1806981519508 1360.29273412101 0.15125273314299753
67 2452763.0 1980.1834360027378 1360.4863913817064 0.1723844954924868
68 2452764.0 1980.186173853525 1360.6791249171604 0.15256893996934306
69 2452765.0 1980.1889117043122 1360.8423616318512 0.17235338197303585
70 2452766.0 1980.1916495550993 1361.0052966625162 0.15132466500890535
71 2452767.0 1980.1943874058863 1361.0210852214466 0.1719167009546631
72 2452768.0 1980.1971252566734 1361.0368844074094 0.15172155896478776
73 2452769.0 1980.1998631074607 1361.0914973687281 0.17275134682032353
74 2452770.0 1980.2026009582478 1361.1462439989837 0.15397925618868427
75 2452771.0 1980.2053388090349 1361.1873532678073 0.1722505257535568
76 2452772.0 1980.208076659822 1361.2287637092368 0.14994625793081956
77 2452773.0 1980.2108145106092 1361.251348789557 0.1795969191582378
78 2452774.0 1980.2135523613963 1361.2743468716383 0.17969904457959032
79 2452775.0 1980.2162902121834 1361.2977981435463 0.15031372730055162
80 2452776.0 1980.2190280629707 1361.3849878957526 0.17186264500146844
81 2452777.0 1980.2217659137577 1361.4728241777523 0.1526161362597993
82 2452778.0 1980.2245037645448 1361.534332622547 0.17276036979889836
83 2452779.0 1980.2272416153319 1361.5967485700119 0.15308971226223494
84 2452780.0 1980.2299794661192 1361.6442037302222 0.17240937418591504
85 2452781.0 1980.2327173169062 1361.6927583876793 0.1530051731832536
86 2452782.0 1980.2354551676933 1361.7099836200448 0.17181277502993386
87 2452783.0 1980.2381930184804 1361.7284232969173 0.14887088884985275
88 2452784.0 1980.2409308692677 1361.585318459259 0.17917148842794162
89 2452785.0 1980.2436687200548 1361.4432102196286 0.18001512068037534
90 2452786.0 1980.2464065708418 1361.3018502505633 0.15190037774915444
91 2452787.0 1980.2491444216291 1361.1397116882083 0.17170079810623384
92 2452788.0 1980.2518822724162 1360.9777910470546 0.1509495041628579
93 2452789.0 1980.2546201232033 1361.083676508175 0.1717759406831087
94 2452790.0 1980.2573579739903 1361.1896819716512 0.1513382225480277
95 2452791.0 1980.2600958247776 1361.2325259275283 0.17167443005171987
96 2452792.0 1980.2628336755647 1361.2757499931 0.15166311583522402
97 2452793.0 1980.2655715263518 1361.1564164331392 0.17168319833576673
98 2452794.0 1980.2683093771388 1361.037329985123 0.15090757964655022
99 2452795.0 1980.2710472279261 1360.8608869618402 0.18002165158186498
100 2452796.0 1980.2737850787132 1360.6841746266985 0.17964294476103265
101 2452797.0 1980.2765229295003 1360.506884183209 0.14954438407389167
102 2452798.0 1980.2792607802876 1360.3322462608442 0.17215395753559065
103 2452799.0 1980.2819986310747 1360.156415251918 0.1534022081355494
104 2452800.0 1980.2847364818617 1360.1159784703475 0.1732786771321955
105 2452801.0 1980.2874743326488 1360.0739706844333 0.15439178674867152
106 2452802.0 1980.290212183436 1360.4270251107887 0.17235475297877884
107 2452803.0 1980.2929500342232 1360.779052072113 0.15015516313796698
108 2452804.0 1980.2956878850102 1361.0974731985884 0.1713596453238182
109 2452805.0 1980.2984257357973 1361.4160384364852 0.15146921951834483
110 2452806.0 1980.3011635865846 1361.5267643954526 0.17158536065870042
111 2452807.0 1980.3039014373717 1361.638384631961 0.14987782022082333
112 2452808.0 1980.3066392881587 1361.5130762812653 0.1795759393802265
113 2452809.0 1980.3093771389458 1361.388638288786 0.18038953447778366
114 2452810.0 1980.3121149897331 1361.2648532049866 0.152787458257841
115 2452811.0 1980.3148528405202 1361.1539401546938 0.17242561891446412
116 2452812.0 1980.3175906913073 1361.0432698891673 0.1525172852295349
117 2452813.0 1980.3203285420946 1361.0982717047214 0.17190480806597588
118 2452814.0 1980.3230663928816 1361.1534190270438 0.15112343080973242
119 2452815.0 1980.3258042436687 1361.1890630166163 0.17152099888360553
120 2452816.0 1980.3285420944558 1361.2250111664996 0.15115626950032562
121 2452817.0 1980.331279945243 1361.2248397761991 0.1714282810786518
122 2452818.0 1980.3340177960301 1361.2250350644101 0.14950425999212966
123 2452819.0 1980.3367556468172 1361.1460207963062 0.17959978550091155
124 2452820.0 1980.3394934976043 1361.0672354742633 0.1799132195520479
125 2452821.0 1980.3422313483916 1360.9885414246376 0.15063320546628997
126 2452822.0 1980.3449691991786 1360.8843778403111 0.1721013129120997
127 2452823.0 1980.3477070499657 1360.7799859933134 0.1521892044773001
128 2452824.0 1980.350444900753 1360.695235388256 0.1720788401343892
129 2452825.0 1980.35318275154 1360.6099260030178 0.15203079279843823
130 2452826.0 1980.3559206023272 1360.680188817495 0.1723499762820559
131 2452827.0 1980.3586584531142 1360.7498665586104 0.15230382342586885
132 2452828.0 1980.3613963039015 1361.0499955507914 0.17194883262377897
133 2452829.0 1980.3641341546886 1361.350185689416 0.15048807231890046
134 2452830.0 1980.3668720054757 1361.4081728354106 0.18007016879420432
135 2452831.0 1980.3696098562627 1361.466847025796 0.18087077145183955
136 2452832.0 1980.37234770705 1361.5263107909561 0.15334794249524095
137 2452833.0 1980.375085557837 1361.4825353802162 0.17337512587772316
138 2452834.0 1980.3778234086242 1361.4395769589078 0.15358172007745943
139 2452835.0 1980.3805612594113 1361.3939778707138 0.17338015233678897
140 2452836.0 1980.3832991101985 1361.3490410218742 0.15392907730273994
141 2452837.0 1980.3860369609856 1361.1616441444125 0.17241791783045202
142 2452838.0 1980.3887748117727 1360.974503514076 0.15038053237739482
143 2452839.0 1980.39151266256 1360.7302188075892 0.17118298096795767
144 2452840.0 1980.394250513347 1360.485436452811 0.15129516620050337
145 2452841.0 1980.3969883641341 1360.566044331307 0.17172547466262642
146 2452842.0 1980.3997262149212 1360.6458676743334 0.15107657538254407
147 2452843.0 1980.4024640657085 1360.8958627563018 0.1800753167097713
148 2452844.0 1980.4052019164956 1361.1456496449282 0.18008759649478775
149 2452845.0 1980.4079397672826 1361.3956648310443 0.1511205834009288
150 2452846.0 1980.4106776180697 1361.4319157507834 0.17208957745441966
151 2452847.0 1980.413415468857 1361.46889520454 0.15354389346008634
152 2452848.0 1980.416153319644 1361.4187557875507 0.1727905494035718
153 2452849.0 1980.4188911704312 1361.36932190816 0.15133967222702832
154 2452850.0 1980.4216290212185 1361.3388012398618 0.17218322792348775
155 2452851.0 1980.4243668720055 1361.3088463923627 0.15342402112075051
156 2452852.0 1980.4271047227926 1361.2953938349976 0.1720450824403171
157 2452853.0 1980.4298425735797 1361.2824312460361 0.1506427655763383
158 2452854.0 1980.432580424367 1361.1754874902454 0.1797076256080189
159 2452855.0 1980.435318275154 1361.0688241721823 0.1795297452824972
160 2452856.0 1980.438056125941 1360.962254902718 0.15000364058113505
161 2452857.0 1980.4407939767282 1360.8294891158223 0.1714997316760126
162 2452858.0 1980.4435318275155 1360.696399150787 0.1513368874546177
163 2452859.0 1980.4462696783025 1360.6918255154142 0.17208153386455396
164 2452860.0 1980.4490075290896 1360.6866871412583 0.15338283788401091
165 2452861.0 1980.4517453798767 1360.947386649315 0.17224515071012472
166 2452862.0 1980.454483230664 1361.2079679996436 0.14975667582536872
167 2452863.0 1980.457221081451 1361.2912865833114 0.1713801788229309
168 2452864.0 1980.4599589322381 1361.3750879581544 0.15164413327479723
169 2452865.0 1980.4626967830254 1361.19774073322 0.17160588742150595
170 2452866.0 1980.4654346338125 1361.0207128325108 0.1499175425549752
171 2452867.0 1980.4681724845996 1361.1403999664767 0.17974486051489694
172 2452868.0 1980.4709103353866 1361.260306224368 0.1798712522384786
173 2452869.0 1980.473648186174 1361.3806411367261 0.15037268671000795
174 2452870.0 1980.476386036961 1361.4319007382956 0.17214549697456738
175 2452871.0 1980.479123887748 1361.4838888476454 0.15256518125961704
176 2452872.0 1980.4818617385351 1361.3709274288467 0.17259942900944408
177 2452873.0 1980.4845995893224 1361.2585879698356 0.15421893683339036
178 2452874.0 1980.4873374401095 1361.234807389805 0.17328382714317667
179 2452875.0 1980.4900752908966 1361.2114109062206 0.15374292245660398
180 2452876.0 1980.4928131416839 1361.2939008851747 0.1722884549857156
181 2452877.0 1980.495550992471 1361.3768782236657 0.1516539168151236
182 2452878.0 1980.498288843258 1361.4207390356873 0.18041314927836571
183 2452879.0 1980.501026694045 1361.465308850941 0.17979294391565445
184 2452880.0 1980.5037645448324 1361.5106655530817 0.14942269912506756
185 2452881.0 1980.5065023956195 1361.5800835064078 0.1718078355786572
186 2452882.0 1980.5092402464065 1361.6504889099167 0.15315316342899846
187 2452883.0 1980.5119780971936 1361.637940129251 0.17302299368520643
188 2452884.0 1980.514715947981 1361.6264799004878 0.1538085365011838
189 2452885.0 1980.517453798768 1361.5660447332425 0.17284402017331094
190 2452886.0 1980.520191649555 1361.5065724840856 0.1522142406003057
191 2452887.0 1980.5229295003423 1361.5613197983655 0.17216071675857764
192 2452888.0 1980.5256673511294 1361.6170217741278 0.15070694313723373
193 2452889.0 1980.5284052019165 1361.5878902827992 0.18012113428005747
194 2452890.0 1980.5311430527036 1361.559759883627 0.1803116145380833
195 2452891.0 1980.5338809034909 1361.5325814200617 0.15139031929144184
196 2452892.0 1980.536618754278 1361.4101066636579 0.17204893881868577
197 2452893.0 1980.539356605065 1361.2883223309166 0.15225553380675963
198 2452894.0 1980.542094455852 1361.3144586139995 0.1727653470808355
199 2452895.0 1980.5448323066394 1361.3411181802899 0.1532272971259812
200 2452896.0 1980.5475701574264 1361.3910171118887 0.1725633054150399
201 2452897.0 1980.5503080082135 1361.441573109059 0.15150066441782584
202 2452898.0 1980.5530458590006 1361.4050621688348 0.17242024477203918
203 2452899.0 1980.5557837097879 1361.3692328372538 0.15335788266337153
204 2452900.0 1980.558521560575 1361.3696581395175 0.17259944901588736
205 2452901.0 1980.561259411362 1361.3707031835556 0.1515523887564184
206 2452902.0 1980.5639972621493 1361.3789964519651 0.18041096616842633
207 2452903.0 1980.5667351129364 1361.387925780409 0.18050674935985542
208 2452904.0 1980.5694729637235 1361.397506772468 0.15189495657605276
209 2452905.0 1980.5722108145105 1361.2851355482846 0.17229242492206592
210 2452906.0 1980.5749486652978 1361.1732363666224 0.1521223977309271
211 2452907.0 1980.577686516085 1361.0711864680363 0.1718825399102526
212 2452908.0 1980.580424366872 1360.9692347460493 0.15083707572620828
213 2452909.0 1980.583162217659 1361.0303358110668 0.17166244284693402
214 2452910.0 1980.5859000684463 1361.0914636680918 0.15058631462467514
215 2452911.0 1980.5886379192334 1361.224339108777 0.1716082323065361
216 2452912.0 1980.5913757700205 1361.357580353081 0.15075422245393982
217 2452913.0 1980.5941136208078 1361.412624608186 0.17996691878560903
218 2452914.0 1980.5968514715948 1361.4683636869393 0.17961714406913298
219 2452915.0 1980.599589322382 1361.524894990757 0.14949460134598905
220 2452916.0 1980.602327173169 1361.4448223906368 0.1712723151120003
221 2452917.0 1980.6050650239563 1361.3655008782691 0.15134454314871099
222 2452918.0 1980.6078028747434 1361.3249360212683 0.17200106551402913
223 2452919.0 1980.6105407255304 1361.2849127562486 0.15239544821956202
224 2452920.0 1980.6132785763175 1361.3139487519984 0.17218796978533701
225 2452921.0 1980.6160164271048 1361.3435071399967 0.15342352118576696
226 2452922.0 1980.6187542778919 1361.4307845230487 0.17281491573468974
227 2452923.0 1980.621492128679 1361.5187884633488 0.15307251831782756
228 2452924.0 1980.624229979466 1361.4969843387962 0.17245131205442307
229 2452925.0 1980.6269678302533 1361.4760224525467 0.15102012845617843
230 2452926.0 1980.6297056810404 1361.4250325824746 0.18014327029225027
231 2452927.0 1980.6324435318274 1361.374759218405 0.1807464376969165
232 2452928.0 1980.6351813826147 1361.3251145100005 0.15317190378332893
233 2452929.0 1980.6379192334018 1361.3709498947533 0.17276513231365548
234 2452930.0 1980.640657084189 1361.4174072785615 0.15271992783081662
235 2452931.0 1980.643394934976 1361.2120118278517 0.17219451002002725
236 2452932.0 1980.6461327857633 1361.0069606394013 0.1514902313950446
237 2452933.0 1980.6488706365503 1360.4386740642801 0.17154619584269878
238 2452934.0 1980.6516084873374 1359.8693803801518 0.15118018370413852
239 2452935.0 1980.6543463381245 1359.5156491949103 0.1714559050969622
240 2452936.0 1980.6570841889118 1359.1592979581883 0.14940940536220002
241 2452937.0 1980.6598220396988 1359.00434980112 0.17953366480883126
242 2452938.0 1980.662559890486 1358.8458881210154 0.18046055030114502
243 2452939.0 1980.6652977412732 1358.6836360135455 0.1527302327261218
244 2452940.0 1980.6680355920603 1358.769424210959 0.1750388449343335
245 2452941.0 1980.6707734428473 1358.851288363943 0.15950255071667846
246 2452942.0 1980.6735112936344 1359.0343161726942 0.17546704143666408
247 2452943.0 1980.6762491444217 1359.2138828232457 0.15842583265871002
248 2452944.0 1980.6789869952088 1359.5754089406503 0.1747352572752861
249 2452945.0 1980.6817248459959 1359.9344194339426 0.15331658722989602
250 2452946.0 1980.684462696783 1360.616772933366 0.17253811769435168
251 2452947.0 1980.6872005475702 1361.298430543217 0.15183321337286176
252 2452948.0 1980.6899383983573 1361.393914111807 0.1802796199481196
253 2452949.0 1980.6926762491444 1361.4900598083386 0.17965382043043168
254 2452950.0 1980.6954140999314 1361.5870356428848 0.14958613253513228
255 2452951.0 1980.6981519507187 1361.4263893923994 0.17166821287105183
256 2452952.0 1980.7008898015058 1361.2664620188916 0.15256326711510326
257 2452953.0 1980.7036276522929 1361.1896229804522 0.1724903544774102
258 2452954.0 1980.7063655030802 1361.1130890808276 0.1532657614560521
259 2452955.0 1980.7091033538672 1361.1651247987472 0.1725576865196758
260 2452956.0 1980.7118412046543 1361.2174228460703 0.15176811066750545
261 2452957.0 1980.7145790554414 1361.2119428536678 0.17152878555956452
262 2452958.0 1980.7173169062287 1361.2068070030125 0.14956106221859475
263 2452959.0 1980.7200547570158 1361.1092068347423 0.1712556780475315
264 2452960.0 1980.7227926078028 1361.0117712818696 0.14960585903173576
265 2452961.0 1980.72553045859 1360.984814366518 0.17949558531322804
266 2452962.0 1980.7282683093772 1360.9578046965887 0.18020715233040518
267 2452963.0 1980.7310061601643 1360.9306950739606 0.15215636927457893
268 2452964.0 1980.7337440109513 1360.8953163912222 0.1722988465684213
269 2452965.0 1980.7364818617386 1360.8597285604126 0.15229613881578452
