 t_org t s_out_mean s_out_std
0 2458131.0 1980.0 1360.7471600769313 0.05171097133401905
1 2458132.0 1980.002737850787 1360.748956914395 0.051623360771593095
2 2458139.0 1980.021902806297 1360.7275294199821 0.05245098513094647
3 2458141.0 1980.0273785078714 1360.6985543325557 0.052124705316565205
4 2458142.0 1980.0301163586585 1360.6843446473524 0.05029403180184089
5 2458143.0 1980.0328542094455 1360.6655841366496 0.05099052238945123
6 2458144.0 1980.0355920602328 1360.6468812965202 0.050025856010782126
7 2458145.0 1980.03832991102 1360.6344696068709 0.050929543698763596
8 2458146.0 1980.041067761807 1360.6220104790784 0.0501278706372946
9 2458147.0 1980.043805612594 1360.6328554529716 0.05147588242751796
10 2458148.0 1980.0465434633813 1360.6436475359117 0.05137131641857778
11 2458149.0 1980.0492813141684 1360.6544231848834 0.049803564238670196
12 2458150.0 1980.0520191649555 1360.6739737011412 0.05081515967940746
13 2458151.0 1980.0547570157426 1360.6936102289574 0.049990255102124674
14 2458152.0 1980.0574948665299 1360.692128295033 0.05086980878114544
15 2458153.0 1980.060232717317 1360.6907937011229 0.05001253360928476
16 2458154.0 1980.062970568104 1360.6666218387388 0.050919753012615504
17 2458155.0 1980.065708418891 1360.6425111524154 0.05010904586746719
18 2458156.0 1980.0684462696784 1360.6135244054824 0.05097242303108393
19 2458157.0 1980.0711841204654 1360.5844194649358 0.050131116467768834
20 2458158.0 1980.0739219712525 1360.5580525589544 0.05094860220251293
21 2458159.0 1980.0766598220398 1360.5313800686167 0.04997473469165779
22 2458160.0 1980.0793976728269 1360.548682187767 0.051383724981504175
23 2458161.0 1980.082135523614 1360.5656470682957 0.05142287506692856
24 2458162.0 1980.084873374401 1360.5823320196591 0.05009593996730774
25 2458164.0 1980.0903490759754 1360.6764938053934 0.05026711885416088
26 2458165.0 1980.0930869267625 1360.6826906812573 0.05097069033228046
27 2458166.0 1980.0958247775495 1360.6890030157128 0.05004880984259185
28 2458167.0 1980.0985626283368 1360.6728839166021 0.050947096269614536
29 2458168.0 1980.101300479124 1360.6568471476237 0.05014958860280594
30 2458169.0 1980.104038329911 1360.6503895484486 0.05109302729791359
31 2458170.0 1980.1067761806983 1360.6439382906551 0.050388129499319805
32 2458171.0 1980.1095140314853 1360.6376575187076 0.05170398384598018
33 2458172.0 1980.1122518822724 1360.6313400777758 0.05163450250253822
34 2458173.0 1980.1149897330595 1360.6249646267659 0.05017296284762886
35 2458174.0 1980.1177275838468 1360.6244676056192 0.05093426868324819
36 2458175.0 1980.1204654346338 1360.623889358336 0.049997631614114524
37 2458176.0 1980.123203285421 1360.6251278519476 0.05101503192259966
38 2458177.0 1980.125941136208 1360.6262873498156 0.05044448693599653
39 2458179.0 1980.1314168377824 1360.6181143529604 0.05074768416085898
40 2458180.0 1980.1341546885694 1360.6161318832358 0.051378742486483574
41 2458181.0 1980.1368925393565 1360.6140400282768 0.05049832965367454
