 t_org t s_out_mean s_out_std
0 2445999.0 1980.0 1360.879267111529 0.22029663330357055
1 2446000.0 1980.002737850787 1360.8866827193667 0.21890690713795222
2 2446001.0 1980.0054757015744 1360.8941523473 0.2170137743637048
3 2446002.0 1980.0082135523614 1360.9073931823573 0.2170064811990409
4 2446003.0 1980.0109514031485 1360.9206907012847 0.21622124935680362
5 2446004.0 1980.0136892539356 1360.9311342849207 0.2169194708567964
6 2446005.0 1980.0164271047229 1360.9416376060033 0.21682978504385508
7 2446006.0 1980.01916495551 1360.9522020154661 0.21595116391224148
8 2446007.0 1980.021902806297 1360.9437766726312 0.2163772714085847
9 2446008.0 1980.024640657084 1360.9354126933035 0.21591232462871204
10 2446009.0 1980.0273785078714 1360.9200902856198 0.21630079636913455
11 2446010.0 1980.0301163586585 1360.9048261949065 0.21579096250137655
12 2446011.0 1980.0328542094455 1360.8888917491342 0.21621135283614776
13 2446012.0 1980.0355920602328 1360.8730116075803 0.21571736369588773
14 2446013.0 1980.03832991102 1360.859739320112 0.21613108217456717
15 2446014.0 1980.041067761807 1360.8465175872839 0.2156454855284972
16 2446015.0 1980.043805612594 1360.8397879770255 0.2165992041960035
17 2446016.0 1980.0465434633813 1360.8331063552691 0.21674398840784737
18 2446017.0 1980.0492813141684 1360.826471862627 0.2160815389308025
19 2446018.0 1980.0520191649555 1360.8203973447817 0.2165332441532657
20 2446019.0 1980.0547570157426 1360.8143683214196 0.2161197798317239
21 2446020.0 1980.0574948665299 1360.8041636027258 0.2165315250419437
22 2446021.0 1980.060232717317 1360.7940022905354 0.2161054049666139
23 2446022.0 1980.062970568104 1360.7801491562366 0.21654314958272608
24 2446023.0 1980.065708418891 1360.7663363397073 0.2161405884267853
25 2446024.0 1980.0684462696784 1360.7462662280047 0.2166542389570837
26 2446025.0 1980.0711841204654 1360.7262320760583 0.2163342467708791
27 2446026.0 1980.0739219712525 1360.7044483217958 0.2167400788288592
28 2446027.0 1980.0766598220398 1360.682695148675 0.21631271434119545
29 2446028.0 1980.0793976728269 1360.6643961913867 0.21696547853503273
30 2446029.0 1980.082135523614 1360.6461226637452 0.21682019177705641
31 2446030.0 1980.084873374401 1360.627872215413 0.21587516767644205
32 2446031.0 1980.0876112251883 1360.6302008808736 0.21611537977430947
33 2446032.0 1980.0903490759754 1360.6325505777868 0.21544563157061306
34 2446033.0 1980.0930869267625 1360.6584261686498 0.2159447601252137
35 2446034.0 1980.0958247775495 1360.6843264212969 0.2155189294105188
36 2446035.0 1980.0985626283368 1360.7140734450556 0.21598836896696197
37 2446036.0 1980.101300479124 1360.743852287937 0.2155474103241664
38 2446037.0 1980.104038329911 1360.7633817126211 0.2161656620383399
39 2446038.0 1980.1067761806983 1360.7829492984513 0.21590961041462936
40 2446039.0 1980.1095140314853 1360.7910861590465 0.21675572966585502
41 2446040.0 1980.1122518822724 1360.7992647441263 0.2168112072604332
42 2446041.0 1980.1149897330595 1360.8074861056184 0.21607668082634088
43 2446042.0 1980.1177275838468 1360.8059150817483 0.2165416706388527
44 2446043.0 1980.1204654346338 1360.8043876896559 0.21617439949317793
45 2446044.0 1980.123203285421 1360.7949375321157 0.2165888175206537
46 2446045.0 1980.125941136208 1360.7855295944225 0.21613865780942312
47 2446046.0 1980.1286789869953 1360.778124824612 0.2164389550107214
48 2446047.0 1980.1314168377824 1360.7707601122022 0.2158346258366825
49 2446048.0 1980.1341546885694 1360.7671351194401 0.216098544680192
50 2446049.0 1980.1368925393565 1360.763548770585 0.21543759039655028
51 2446050.0 1980.1396303901438 1360.7581580809506 0.21614858078644805
52 2446051.0 1980.1423682409309 1360.7528048805984 0.2160609261664796
53 2446052.0 1980.145106091718 1360.7474884810006 0.21517360522123946
54 2446053.0 1980.1478439425052 1360.7368956991106 0.21574300775350164
55 2446054.0 1980.1505817932923 1360.7263376717399 0.21539247912674725
56 2446055.0 1980.1533196440794 1360.711607020964 0.21585174506099586
57 2446056.0 1980.1560574948664 1360.6969078720822 0.2154208184247821
58 2446057.0 1980.1587953456537 1360.680357260869 0.21601988045877854
59 2446058.0 1980.1615331964408 1360.6638341322137 0.21569053128177113
60 2446059.0 1980.1642710472279 1360.65197961201 0.21614318843007593
61 2446060.0 1980.167008898015 1360.6401489244354 0.2156728949691765
62 2446061.0 1980.1697467488023 1360.6345997180435 0.21628241383011393
63 2446062.0 1980.1724845995893 1360.6290721088828 0.215998749092083
64 2446063.0 1980.1752224503764 1360.6312113528886 0.2168250300504169
65 2446064.0 1980.1779603011637 1360.6333717583143 0.21683800785443122
66 2446065.0 1980.1806981519508 1360.6355536030303 0.21603783577572688
67 2446066.0 1980.1834360027378 1360.6410228765196 0.2165415358041524
68 2446067.0 1980.186173853525 1360.6465145733848 0.21622153266656244
69 2446068.0 1980.1889117043122 1360.647602506054 0.21663035028871577
70 2446069.0 1980.1916495550993 1360.6487137083695 0.2162079134775774
71 2446070.0 1980.1943874058863 1360.647369082063 0.2165952083216576
72 2446071.0 1980.1971252566734 1360.64604769538 0.21612648122022105
73 2446072.0 1980.1998631074607 1360.6432484411732 0.21654808377504656
74 2446073.0 1980.2026009582478 1360.6404718965944 0.21610391047551206
75 2446074.0 1980.2053388090349 1360.6378713578506 0.21673795892938647
76 2446075.0 1980.208076659822 1360.635292837135 0.2165519184913131
77 2446076.0 1980.2108145106092 1360.6327360027985 0.2155435694557744
78 2446077.0 1980.2135523613963 1360.627630431535 0.21601159099064787
79 2446078.0 1980.2162902121834 1360.622545561114 0.21559636057020684
80 2446079.0 1980.2190280629707 1360.6180964834844 0.21611454554675938
81 2446080.0 1980.2217659137577 1360.6136668804431 0.2157254361752072
82 2446081.0 1980.2245037645448 1360.6123886466062 0.2159564970968571
83 2446082.0 1980.2272416153319 1360.6111291532163 0.21528050687213543
84 2446083.0 1980.2299794661192 1360.6127317402047 0.2158752338452507
